st	accession	sp	gn
Bacteroidetes_bacterium_oral_taxon_272_str._F0290	GCF_000442105.1	Bacteroidetes bacterium	Bacteroidetes
Balneatrix_alpica_DSM_16621	GCF_000619885.1	Balneatrix alpica	Balneatrix
Balneicella_halophila	GCF_003096835.1	Balneicella halophila	Balneicella
Balneola_vulgaris_DSM_17893	GCF_000375465.1	Balneola vulgaris	Balneola
Bariatricus_massiliensis	GCF_900086725.1	Bariatricus massiliensis	Bariatricus
Barnesiella_viscericola_DSM_18177	GCF_000512915.1	Barnesiella viscericola	Barnesiella
Bartonella_ancashensis	GCF_001281405.1	Bartonella ancashensis	Bartonella
Basfia_succiniciproducens	GCF_900110905.1	Basfia succiniciproducens	Basfia
Basilea_psittacipulmonis_DSM_24701	GCF_000743945.1	Basilea psittacipulmonis	Basilea
Bathymodiolus_platifrons_methanotrophic_gill_symbiont	GCF_002189065.1	Bathymodiolus platifrons	Bathymodiolus
Bauldia_litoralis	GCF_900104485.1	Bauldia litoralis	Bauldia
Baumannia_cicadellinicola_str._Hc_(Homalodisca_coagulata)	GCF_000013185.1	Baumannia cicadellinicola	Baumannia
Bavariicoccus_seileri_DSM_19936	GCF_000421665.1	Bavariicoccus seileri	Bavariicoccus
Bdellovibrio_exovorus_JSS	GCF_000348725.1	Bdellovibrio exovorus	Bdellovibrio
Beduini_massiliensis	GCF_000829905.1	Beduini massiliensis	Beduini
Beggiatoa_leptomitoformis	GCF_001305575.2	Beggiatoa leptomitoformis	Beggiatoa
Beijerinckia_indica_subsp._indica_ATCC_9039	GCF_000019845.1	Beijerinckia indica	Beijerinckia
Belliella_baltica_DSM_15883	GCF_000265405.1	Belliella baltica	Belliella
Bellilinea_caldifistulae	GCF_001306055.1	Bellilinea caldifistulae	Bellilinea
Belnapia_rosea	GCF_900104205.1	Belnapia rosea	Belnapia
Bergeriella_denitrificans_NBRC_102155	GCF_001592185.1	Bergeriella denitrificans	Bergeriella
Bergeyella_zoohelcum_ATCC_43767	GCF_000301075.1	Bergeyella zoohelcum	Bergeyella
Bermanella_marisrubri	GCF_000153565.1	Bermanella marisrubri	Bermanella
Bernardetia_litoralis_DSM_6794	GCF_000265505.1	Bernardetia litoralis	Bernardetia
beta_proteobacterium_AAP121	GCF_001295855.1	beta proteobacterium	beta
Betaproteobacteria_bacterium_GR16-43	GCF_001953215.1	Betaproteobacteria bacterium	Betaproteobacteria
Beutenbergia_cavernae_DSM_12333	GCF_000023105.1	Beutenbergia cavernae	Beutenbergia
Bhargavaea_cecembensis	GCF_000826125.2	Bhargavaea cecembensis	Bhargavaea
Bibersteinia_trehalosi_USDA-ARS-USMARC-192	GCF_000347595.1	Bibersteinia trehalosi	Bibersteinia
Bifidobacteriaceae_bacterium_NR047	GCF_003585735.1	Bifidobacteriaceae bacterium	Bifidobacteriaceae
Bifidobacterium_psychraerophilum	GCF_000741705.1	Bifidobacterium psychraerophilum	Bifidobacterium
Bilophila_wadsworthia_ATCC_49260	GCF_000701705.1	Bilophila wadsworthia	Bilophila
Bisgaard_taxon_44_str._B96_4	GCF_003585925.1	Bisgaard taxon	Bisgaard
Bittarella_massiliensis	GCF_001486165.1	Bittarella massiliensis	Bittarella
Bizionia_argentinensis_JUB59	GCF_000224335.1	Bizionia argentinensis	Bizionia
Blastochloris_viridis	GCF_001402875.1	Blastochloris viridis	Blastochloris
Blastococcus_saxobsidens_DD2	GCF_000284015.1	Blastococcus saxobsidens	Blastococcus
Blastomonas_sp._RAC04	GCF_001713435.1	Blastomonas sp.	Blastomonas
Blastopirellula_marina_DSM_3645	GCF_000153105.1	Blastopirellula marina	Blastopirellula
Blattabacterium_sp._(Cryptocercus_punctulatus)_str._Cpu	GCF_000236405.1	Blattabacterium sp.	Blattabacterium
Blautia_schinkii_DSM_10518	GCF_000702025.1	Blautia schinkii	Blautia
Blochmannia_endosymbiont_of_Polyrhachis_(Hedomyrma)_turneri	GCF_000973505.1	Blochmannia endosymbiont	Blochmannia
blood_disease_bacterium_A2-HR_MARDI	GCF_002012345.1	blood disease	blood
Bogoriella_caseilytica	GCF_003752405.1	Bogoriella caseilytica	Bogoriella
Bombella_intestini	GCF_002003665.1	Bombella intestini	Bombella
Bombiscardovia_coagulans	GCF_002259585.1	Bombiscardovia coagulans	Bombiscardovia
Bordetella_pertussis_Tohama_I	GCF_000195715.1	Bordetella pertussis	Bordetella
Borrelia_hispanica_CRI	GCF_000500065.1	Borrelia hispanica	Borrelia
Borreliella_spielmanii_A14S	GCF_000181895.2	Borreliella spielmanii	Borreliella
Bosea_thiooxidans	GCF_900168195.1	Bosea thiooxidans	Bosea
Boseongicola_aestuarii	GCF_900184815.1	Boseongicola aestuarii	Boseongicola
Bowmanella_denitrificans	GCF_002887595.1	Bowmanella denitrificans	Bowmanella
Brachybacterium_massiliense	GCF_900184245.1	Brachybacterium massiliense	Brachybacterium
Brachymonas_denitrificans_DSM_15123	GCF_900110225.1	Brachymonas denitrificans	Brachymonas
Brachyspira_pilosicoli_P43/6/78	GCF_000325665.1	Brachyspira pilosicoli	Brachyspira
Brackiella_oedipodis_DSM_13743	GCF_000621025.1	Brackiella oedipodis	Brackiella
Bradymonadaceae_bacterium_TMQ3	GCF_003367535.1	Bradymonadaceae bacterium	Bradymonadaceae
Bradymonadales_bacterium_B210	GCF_003260125.1	Bradymonadales bacterium	Bradymonadales
Bradymonas_sediminis	GCF_003258315.1	Bradymonas sediminis	Bradymonas
Bradyrhizobiaceae_bacterium_SG-6C	GCF_000219645.1	Bradyrhizobiaceae bacterium	Bradyrhizobiaceae
Bradyrhizobium_erythrophlei	GCF_900142985.1	Bradyrhizobium erythrophlei	Bradyrhizobium
Branchiibius_hedensis	GCF_003149195.1	Branchiibius hedensis	Branchiibius
Brenneria_goodwinii	GCF_001049335.1	Brenneria goodwinii	Brenneria
Breoghania_corrubedonensis	GCF_003053845.1	Breoghania corrubedonensis	Breoghania
Brevefilum_fermentans	GCF_900184705.1	Brevefilum fermentans	Brevefilum
Brevibacillus_brevis_NBRC_100599	GCF_000010165.1	Brevibacillus brevis	Brevibacillus
Brevibacterium_ravenspurgense_5401308_=_CCUG_53855	GCF_000285915.1	Brevibacterium ravenspurgense	Brevibacterium
Brevinema_andersonii	GCF_900112165.1	Brevinema andersonii	Brevinema
Brevirhabdus_pacifica	GCF_001981245.1	Brevirhabdus pacifica	Brevirhabdus
Brevundimonas_bacteroides_DSM_4726	GCF_000701445.1	Brevundimonas bacteroides	Brevundimonas
Brochothrix_campestris_FSL_F6-1037	GCF_000525915.1	Brochothrix campestris	Brochothrix
Brockia_lithotrophica	GCF_003633725.1	Brockia lithotrophica	Brockia
Brucella_melitensis_bv._1_str._16M	GCF_000007125.1	Brucella melitensis	Brucella
Brucellaceae_bacterium_VT-16-1752	GCF_003860205.1	Brucellaceae bacterium	Brucellaceae
Brumimicrobium_mesophilum	GCF_003025005.1	Brumimicrobium mesophilum	Brumimicrobium
Bryobacter_aggregatus_MPL3	GCF_000702445.1	Bryobacter aggregatus	Bryobacter
Bryocella_elongata	GCF_900108185.1	Bryocella elongata	Bryocella
Buchnera_aphidicola_str._Bp_(Baizongia_pistaciae)	GCF_000007725.1	Buchnera aphidicola	Buchnera
Budvicia_aquatica_DSM_5075_=_ATCC_35567	GCF_000427805.1	Budvicia aquatica	Budvicia
Bulleidia_extructa_W1219	GCF_000177375.1	Bulleidia extructa	Bulleidia
Burkholderia_pseudomallei_K96243	GCF_000011545.1	Burkholderia pseudomallei	Burkholderia
Burkholderiaceae_bacterium_26	GCF_000955795.1	Burkholderiaceae bacterium	Burkholderiaceae
Burkholderiales_bacterium	GCF_900290335.1	Burkholderiales bacterium	Burkholderiales
Buttiauxella_ferragutiae_ATCC_51602	GCF_001654915.1	Buttiauxella ferragutiae	Buttiauxella
Butyribacterium_methylotrophicum	GCF_001753695.1	Butyribacterium methylotrophicum	Butyribacterium
Butyricicoccus_pullicaecorum_1.2	GCF_000398925.1	Butyricicoccus pullicaecorum	Butyricicoccus
Butyricimonas_synergistica_DSM_23225	GCF_000379665.1	Butyricimonas synergistica	Butyricimonas
Butyrivibrio_hungatei_NK4A153	GCF_000424465.1	Butyrivibrio hungatei	Butyrivibrio
Caballeronia_sordidicola	GCF_001544455.2	Caballeronia sordidicola	Caballeronia
Caecibacter_massiliensis	GCF_900095875.1	Caecibacter massiliensis	Caecibacter
Caedibacter_taeniospiralis	GCF_002803295.1	Caedibacter taeniospiralis	Caedibacter
Caedimonas_varicaedens	GCF_001192655.1	Caedimonas varicaedens	Caedimonas
Caenibacillus_caldisaponilyticus	GCF_002003465.1	Caenibacillus caldisaponilyticus	Caenibacillus
Caenimonas_sp._SL110	GCF_001044395.1	Caenimonas sp.	Caenimonas
Caenispirillum_salinarum_AK4	GCF_000315795.1	Caenispirillum salinarum	Caenispirillum
Caldalkalibacillus_thermarum_TA2.A1	GCF_000218765.1	Caldalkalibacillus thermarum	Caldalkalibacillus
Caldanaerobacter_subterraneus_subsp._tengcongensis_MB4	GCF_000007085.1	Caldanaerobacter subterraneus	Caldanaerobacter
Caldanaerobius_polysaccharolyticus_DSM_13641	GCF_000427425.1	Caldanaerobius polysaccharolyticus	Caldanaerobius
Caldanaerovirga_acetigignens	GCF_900142995.1	Caldanaerovirga acetigignens	Caldanaerovirga
Calderihabitans_maritimus	GCF_002207765.1	Calderihabitans maritimus	Calderihabitans
Caldibacillus_debilis_DSM_16016	GCF_000383875.1	Caldibacillus debilis	Caldibacillus
Caldicellulosiruptor_saccharolyticus_DSM_8903	GCF_000016545.1	Caldicellulosiruptor saccharolyticus	Caldicellulosiruptor
Caldicoprobacter_oshimai_DSM_21659	GCF_000526435.1	Caldicoprobacter oshimai	Caldicoprobacter
Caldilinea_aerophila_DSM_14535_=_NBRC_104270	GCF_000281175.1	Caldilinea aerophila	Caldilinea
Caldimicrobium_thiodismutans	GCF_001548275.1	Caldimicrobium thiodismutans	Caldimicrobium
Caldimonas_manganoxidans_ATCC_BAA-369	GCF_000381125.1	Caldimonas manganoxidans	Caldimonas
Caldisalinibacter_kiritimatiensis	GCF_000387765.1	Caldisalinibacter kiritimatiensis	Caldisalinibacter
Caldisericum_exile_AZM16c01	GCF_000284335.1	Caldisericum exile	Caldisericum
Calditerricola_satsumensis_JCM_14719	GCF_001311905.1	Calditerricola satsumensis	Calditerricola
Calditerrivibrio_nitroreducens_DSM_19672	GCF_000183405.1	Calditerrivibrio nitroreducens	Calditerrivibrio
Caldithrix_abyssi_DSM_13497	GCF_001886815.1	Caldithrix abyssi	Caldithrix
Calidifontibacter_indicus	GCF_003386865.1	Calidifontibacter indicus	Calidifontibacter
Caloramator_australicus_RC3	GCF_000297115.1	Caloramator australicus	Caloramator
Caloranaerobacter_ferrireducens	GCF_001730685.1	Caloranaerobacter ferrireducens	Caloranaerobacter
Calothrix_sp._PCC_6303	GCF_000317435.1	Calothrix sp.	Calothrix
Caminibacter_mediatlanticus_TB-2	GCF_000170735.1	Caminibacter mediatlanticus	Caminibacter
Caminicella_sporogenes	GCF_003609595.1	Caminicella sporogenes	Caminicella
Campylobacter_helveticus	GCF_002080395.1	Campylobacter helveticus	Campylobacter
Candiadtus_Scalindua_japonica	GCF_002443295.1	Candiadtus Scalindua	Candiadtus
Candidatus_Accumulibacter_phosphatis_clade_IIA_str._UW-1	GCF_000024165.1	Candidatus Accumulibacter	Accumulibacter
Candidatus_Amoebophilus_asiaticus_5a2	GCF_000020565.1	Candidatus Amoebophilus	Amoebophilus
Candidatus_Annandia_adelgestsuga	GCF_003956045.1	Candidatus Annandia	Annandia
Candidatus_Aquiluna_sp._IMCC13023	GCF_000257665.1	Candidatus Aquiluna	Aquiluna
Candidatus_Arsenophonus_lipoptenae	GCF_001534665.1	Candidatus Arsenophonus	Arsenophonus
Candidatus_Arthromitus_sp._SFB-mouse-NL	GCF_000709435.1	Candidatus Arthromitus	Arthromitus
Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA	GCF_000025125.1	Candidatus Atelocyanobacterium	Atelocyanobacterium
Candidatus_Azobacteroides_pseudotrichonymphae	GCF_002091395.1	Candidatus Azobacteroides	Azobacteroides
Candidatus_Babela_massiliensis	GCF_000513475.1	Candidatus Babela	Babela
Candidatus_Berkiella_aquae	GCF_001431295.1	Candidatus Berkiella	Berkiella
Candidatus_Bipolaricaulis_anaerobius	GCF_900465355.1	Candidatus Bipolaricaulis	Bipolaricaulis
Candidatus_Borkfalki_ceftriaxensis	GCF_004134775.1	Candidatus Borkfalki	Borkfalki
Candidatus_Brocadia_sapporoensis	GCF_001753675.2	Candidatus Brocadia	Brocadia
Candidatus_Carsonella_ruddii_HT_isolate_Thao2000	GCF_000287295.1	Candidatus Carsonella	Carsonella
Candidatus_Chloroploca_asiatica	GCF_002532075.1	Candidatus Chloroploca	Chloroploca
Candidatus_Chrysopegis_kryptomonas	GCF_001536065.1	Candidatus Chrysopegis	Chrysopegis
Candidatus_Cloacimonas_acidaminovorans_str._Evry	GCF_000146065.2	Candidatus Cloacimonas	Cloacimonas
Candidatus_Competibacter_denitrificans_Run_A_D11	GCF_001051235.1	Candidatus Competibacter	Competibacter
Candidatus_Cryosericum_hinesii	GCF_003570985.1	Candidatus Cryosericum	Cryosericum
Candidatus_Cyclonatronum_proteinivorum	GCF_003353065.1	Candidatus Cyclonatronum	Cyclonatronum
Candidatus_Dactylopiibacterium_carminicum	GCF_002284935.1	Candidatus Dactylopiibacterium	Dactylopiibacterium
Candidatus_Dependentiae_bacterium_(ex_Spumella_elongata_CCAP_955/1)	GCF_003366055.1	Candidatus Dependentiae	Dependentiae
Candidatus_Desulfofervidus_auxilii	GCF_001577525.1	Candidatus Desulfofervidus	Desulfofervidus
Candidatus_Desulforudis_audaxviator_MP104C	GCF_000018425.1	Candidatus Desulforudis	Desulforudis
Candidatus_Doolittlea_endobia	GCF_900039485.1	Candidatus Doolittlea	Doolittlea
Candidatus_Endolissoclinum_faulkneri_L5	GCF_000510265.1	Candidatus Endolissoclinum	Endolissoclinum
Candidatus_Entotheonella_palauensis	GCF_900079095.1	Candidatus Entotheonella	Entotheonella
Candidatus_Evansia_muelleri	GCF_000953435.1	Candidatus Evansia	Evansia
Candidatus_Finniella_inopinata	GCF_004210305.1	Candidatus Finniella	Finniella
Candidatus_Fokinia_solitaria	GCF_003072485.1	Candidatus Fokinia	Fokinia
Candidatus_Fonsibacter_ubiquis	GCF_002688585.1	Candidatus Fonsibacter	Fonsibacter
Candidatus_Frackibacter_sp._WG12	GCF_900109985.1	Candidatus Frackibacter	Frackibacter
Candidatus_Fukatsuia_symbiotica	GCF_900128755.2	Candidatus Fukatsuia	Fukatsuia
Candidatus_Gastranaerophilales_bacterium	GCF_900548375.1	Candidatus Gastranaerophilales	Gastranaerophilales
Candidatus_Gastranaerophilus_sp._(ex_Termes_propinquus)	GCF_002933735.1	Candidatus Gastranaerophilus	Gastranaerophilus
Candidatus_Glomeribacter_gigasporarum_BEG34	GCF_000227585.1	Candidatus Glomeribacter	Glomeribacter
Candidatus_Gracilibacteria_bacterium_HOT-871	GCF_002761215.1	Candidatus Gracilibacteria	Gracilibacteria
Candidatus_Gullanella_endobia	GCF_900048035.1	Candidatus Gullanella	Gullanella
Candidatus_Hamiltonella_defensa	GCF_002777215.1	Candidatus Hamiltonella	Hamiltonella
Candidatus_Hepatobacter_penaei	GCF_000742475.1	Candidatus Hepatobacter	Hepatobacter
Candidatus_Hepatoplasma_crinochetorum_Av	GCF_000582535.1	Candidatus Hepatoplasma	Hepatoplasma
Candidatus_Hoaglandella_endobia	GCF_900044015.1	Candidatus Hoaglandella	Hoaglandella
Candidatus_Ishikawaella_capsulata_Mpkobe	GCF_000828515.1	Candidatus Ishikawaella	Ishikawaella
Candidatus_Izimaplasma_sp._ZiA1	GCF_002285055.1	Candidatus Izimaplasma	Izimaplasma
Candidatus_Jettenia_caeni	GCF_000296795.1	Candidatus Jettenia	Jettenia
Candidatus_Jidaibacter_acanthamoeba	GCF_000815465.1	Candidatus Jidaibacter	Jidaibacter
Candidatus_Kinetoplastibacterium_blastocrithidii_(ex_Strigomonas_culicis)	GCF_000319245.1	Candidatus Kinetoplastibacterium	Kinetoplastibacterium
Candidatus_Koribacter_versatilis_Ellin345	GCF_000014005.1	Candidatus Koribacter	Koribacter
Candidatus_Kryptobacter_tengchongensis	GCF_001458555.1	Candidatus Kryptobacter	Kryptobacter
Candidatus_Kryptonium_thompsoni	GCF_001536205.1	Candidatus Kryptonium	Kryptonium
Candidatus_Kuenenia_stuttgartiensis	GCF_900232105.1	Candidatus Kuenenia	Kuenenia
Candidatus_Magnetobacterium_casensis	GCF_000714715.1	Candidatus Magnetobacterium	Magnetobacterium
Candidatus_Marinimicrobia_bacterium	GCF_004124455.1	Candidatus Marinimicrobia	Marinimicrobia
Candidatus_Marinoinvertebrata_rohwerii	GCF_003953955.1	Candidatus Marinoinvertebrata	Marinoinvertebrata
Candidatus_Marispirochaeta_associata	GCF_001749745.1	Candidatus Marispirochaeta	Marispirochaeta
Candidatus_Marithrix_sp._Canyon_246	GCF_001723755.1	Candidatus Marithrix	Marithrix
Candidatus_Methylomirabilis_lanthanidiphila	GCF_900474135.1	Candidatus Methylomirabilis	Methylomirabilis
Candidatus_Methylopumilus_turicensis	GCF_000953015.1	Candidatus Methylopumilus	Methylopumilus
Candidatus_Micropelagos_thuwalensis	GCF_000469155.1	Candidatus Micropelagos	Micropelagos
Candidatus_Microthrix_parvicella_Bio17-1	GCF_000299415.1	Candidatus Microthrix	Microthrix
Candidatus_Midichloria_mitochondrii_IricVA	GCF_000219355.1	Candidatus Midichloria	Midichloria
Candidatus_Mikella_endobia	GCF_900048045.1	Candidatus Mikella	Mikella
Candidatus_Moranella_endobia_PCVAL	GCF_000364725.1	Candidatus Moranella	Moranella
Candidatus_Nanopelagicus_abundans	GCF_002288305.1	Candidatus Nanopelagicus	Nanopelagicus
Candidatus_Neoehrlichia_lotoris_str._RAC413	GCF_000964795.1	Candidatus Neoehrlichia	Neoehrlichia
Candidatus_Nitrosoglobus_terrae	GCF_002356115.1	Candidatus Nitrosoglobus	Nitrosoglobus
Candidatus_Nucleicultrix_amoebiphila_FS5	GCF_002117145.1	Candidatus Nucleicultrix	Nucleicultrix
Candidatus_Odyssella_thessalonicensis_L13	GCF_000190415.1	Candidatus Odyssella	Odyssella
Candidatus_Paracaedibacter_symbiosus	GCF_000757605.1	Candidatus Paracaedibacter	Paracaedibacter
Candidatus_Pelagibacter_ubique	GCF_001180225.1	Candidatus Pelagibacter	Pelagibacter
Candidatus_Phaeomarinobacter_ectocarpi	GCF_000689395.1	Candidatus Phaeomarinobacter	Phaeomarinobacter
Candidatus_Photodesmus_katoptron	GCF_000731785.1	Candidatus Photodesmus	Photodesmus
Candidatus_Phycorickettsia_trachydisci	GCF_003015145.1	Candidatus Phycorickettsia	Phycorickettsia
Candidatus_Phycosocius_bacilliformis	GCF_003112735.1	Candidatus Phycosocius	Phycosocius
Candidatus_Phytoplasma_pruni	GCF_001277135.1	Candidatus Phytoplasma	Phytoplasma
Candidatus_Planktophila_sulfonica	GCF_002288065.1	Candidatus Planktophila	Planktophila
Candidatus_Portiera_aleyrodidarum	GCF_002849975.1	Candidatus Portiera	Portiera
Candidatus_Profftella_armatura	GCF_000441555.1	Candidatus Profftella	Profftella
Candidatus_Promineofilum_breve	GCF_900066015.1	Candidatus Promineofilum	Promineofilum
Candidatus_Protochlamydia_naegleriophila	GCF_001499655.1	Candidatus Protochlamydia	Protochlamydia
Candidatus_Puniceispirillum_marinum_IMCC1322	GCF_000024465.1	Candidatus Puniceispirillum	Puniceispirillum
Candidatus_Purcelliella_pentastirinorum	GCF_003391335.1	Candidatus Purcelliella	Purcelliella
Candidatus_Regiella_insecticola_LSR1	GCF_000143625.1	Candidatus Regiella	Regiella
Candidatus_Riesia_pediculischaeffi_PTSU	GCF_000817295.2	Candidatus Riesia	Riesia
Candidatus_Ruthia_magnifica_str._Cm_(Calyptogena_magnifica)	GCF_000015105.1	Candidatus Ruthia	Ruthia
Candidatus_Saccharibacteria_bacterium_TM7__EAM_G5_2_HOT_356	GCF_004138445.1	Candidatus Saccharibacteria	Saccharibacteria
Candidatus_Saccharimonas_aalborgensis	GCF_000392435.1	Candidatus Saccharimonas	Saccharimonas
Candidatus_Schmidhempelia_bombi_str._Bimp	GCF_000471645.2	Candidatus Schmidhempelia	Schmidhempelia
Candidatus_Similichlamydia_epinepheli	GCF_003056015.1	Candidatus Similichlamydia	Similichlamydia
Candidatus_Soleaferrea_massiliensis_AP7	GCF_000820765.1	Candidatus Soleaferrea	Soleaferrea
Candidatus_Solibacter_usitatus_Ellin6076	GCF_000014905.1	Candidatus Solibacter	Solibacter
Candidatus_Stoquefichus_sp._KLE1796	GCF_001580115.1	Candidatus Stoquefichus	Stoquefichus
Candidatus_Sulcia_muelleri	GCF_003214895.1	Candidatus Sulcia	Sulcia
Candidatus_Sulfobium_mesophilum	GCF_900302705.1	Candidatus Sulfobium	Sulfobium
Candidatus_Sulfopaludibacter_sp._SbA6	GCF_900290325.1	Candidatus Sulfopaludibacter	Sulfopaludibacter
Candidatus_Sulfotelmatobacter_kueseliae	GCF_900290255.1	Candidatus Sulfotelmatobacter	Sulfotelmatobacter
Candidatus_Sulfotelmatomonas_gaucii	GCF_900290245.1	Candidatus Sulfotelmatomonas	Sulfotelmatomonas
Candidatus_Symbiobacter_mobilis_CR	GCF_000477435.1	Candidatus Symbiobacter	Symbiobacter
Candidatus_Symbiothrix_dinenymphae	GCF_001431085.1	Candidatus Symbiothrix	Symbiothrix
Candidatus_Tachikawaea_gelatinosa	GCF_000828815.1	Candidatus Tachikawaea	Tachikawaea
Candidatus_Thiodiazotropha_endoloripes	GCF_001708955.1	Candidatus Thiodiazotropha	Thiodiazotropha
Candidatus_Thiodictyon_syntrophicum	GCF_002813775.1	Candidatus Thiodictyon	Thiodictyon
Candidatus_Thioglobus_singularis_PS1	GCF_001281385.1	Candidatus Thioglobus	Thioglobus
Candidatus_Thiosymbion_oneisti	GCF_900092655.1	Candidatus Thiosymbion	Thiosymbion
Candidatus_Tremblaya_phenacola	GCF_002682985.1	Candidatus Tremblaya	Tremblaya
Candidatus_Uzinura_diaspidicola_str._ASNER	GCF_000331975.1	Candidatus Uzinura	Uzinura
Candidatus_Vesicomyosocius_okutanii_HA	GCF_000010405.1	Candidatus Vesicomyosocius	Vesicomyosocius
Candidatus_Viridilinea_mediisalina	GCF_002532535.1	Candidatus Viridilinea	Viridilinea
Candidatus_Xiphinematobacter_sp._Idaho_Grape	GCF_001318295.1	Candidatus Xiphinematobacter	Xiphinematobacter
Candidimonas_bauzanensis	GCF_900129885.1	Candidimonas bauzanensis	Candidimonas
Capnocytophaga_canimorsus_Cc5	GCF_000220625.1	Capnocytophaga canimorsus	Capnocytophaga
Caproiciproducens_sp._NJN-50	GCF_004103755.1	Caproiciproducens sp.	Caproiciproducens
Capsulimonas_corticalis	GCF_003574315.1	Capsulimonas corticalis	Capsulimonas
Carboxydocella_sporoproducens_DSM_16521	GCF_900167165.1	Carboxydocella sporoproducens	Carboxydocella
Carboxydothermus_hydrogenoformans_Z-2901	GCF_000012865.1	Carboxydothermus hydrogenoformans	Carboxydothermus
Cardinium_endosymbiont_cEper1_of_Encarsia_pergandiella	GCF_000304455.1	Cardinium endosymbiont	Cardinium
Cardiobacterium_hominis_ATCC_15826	GCF_000160655.1	Cardiobacterium hominis	Cardiobacterium
Carnimonas_nigrificans_ATCC_BAA-78	GCF_000526695.1	Carnimonas nigrificans	Carnimonas
Carnobacterium_divergens_DSM_20623	GCF_000744255.1	Carnobacterium divergens	Carnobacterium
Caryophanon_tenue	GCF_001700315.1	Caryophanon tenue	Caryophanon
Casaltella_massiliensis	GCF_000312325.1	Casaltella massiliensis	Casaltella
Castellaniella_caeni_NBRC_101664	GCF_001592225.1	Castellaniella caeni	Castellaniella
Catabacter_hongkongensis	GCF_000981035.1	Catabacter hongkongensis	Catabacter
